"id","wine_name","wine_type","image_url","price","stock","description","best_before","product_registration_date"
1,"Chardonnay","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","20.50",30,"A classic Chardonnay with buttery notes and a smooth finish.","2026-12-31","2025-03-20 00:00:00"
2,"Sauvignon Blanc","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","18.75",25,"Crisp Sauvignon Blanc bursting with tropical aromas.","2026-11-15","2025-03-21 00:00:00"
3,"Riesling","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","19.00",28,"A sweet Riesling with hints of peach and apricot.","2026-10-10","2025-03-22 00:00:00"
4,"Pinot Grigio","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","17.50",20,"Light-bodied Pinot Grigio with a refreshing citrus finish.","2026-09-30","2025-03-23 00:00:00"
5,"Viognier","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","21.00",22,"Aromatic Viognier with subtle stone fruit nuances.","2026-12-01","2025-03-24 00:00:00"
6,"Semillon","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","20.00",30,"Rich Semillon with a touch of honey sweetness.","2026-08-20","2025-03-25 00:00:00"
7,"Gewürztraminer","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","22.00",18,"Spicy and floral with a distinctive aromatic profile.","2026-07-15","2025-03-26 00:00:00"
8,"Moscato","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","16.50",35,"Sweet Moscato with gentle fizz and fruity hints.","2026-06-05","2025-03-27 00:00:00"
9,"Albariño","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","19.50",26,"Fresh Albariño with hints of apricot and citrus.","2026-05-25","2025-03-28 00:00:00"
10,"Grüner Veltliner","White","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","18.25",24,"Crisp and peppery with a subtle mineral finish.","2026-04-15","2025-03-29 00:00:00"
11,"Cabernet Sauvignon","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","25.00",40,"Bold and structured with rich dark fruit flavors.","2027-01-15","2025-04-01 00:00:00"
12,"Merlot","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","23.50",38,"Smooth Merlot with plum nuances and soft tannins.","2027-02-20","2025-04-02 00:00:00"
13,"Pinot Noir","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","27.00",35,"Elegant Pinot Noir with cherry and subtle spice notes.","2027-03-15","2025-04-03 00:00:00"
14,"Syrah","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","26.00",32,"Robust Syrah with hints of pepper and dark berries.","2027-04-10","2025-04-04 00:00:00"
15,"Malbec","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","24.50",30,"Velvety Malbec with rich tannins and a smooth finish.","2027-05-05","2025-04-05 00:00:00"
16,"Zinfandel","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","22.75",36,"Fruity Zinfandel with a subtle spicy kick.","2027-06-01","2025-04-06 00:00:00"
17,"Sangiovese","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","23.00",34,"Medium-bodied with bright cherry flavors and earthy undertones.","2027-07-10","2025-04-07 00:00:00"
18,"Tempranillo","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","25.50",33,"Complex Tempranillo with red fruit and spice notes.","2027-08-15","2025-04-08 00:00:00"
19,"Grenache","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","21.50",37,"Juicy Grenache with a delicate touch of spice.","2027-09-20","2025-04-09 00:00:00"
20,"Mourvèdre","Red","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","28.00",29,"Deep Mourvèdre with intense berry flavors and an earthy finish.","2027-10-25","2025-04-10 00:00:00"
21,"Provence Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","19.00",30,"Light and crisp with delicate floral and red fruit aromas.","2026-11-30","2025-05-01 00:00:00"
22,"Pinot Noir Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","20.00",28,"Delicate rosé with balanced acidity and subtle berry notes.","2026-10-20","2025-05-02 00:00:00"
23,"Grenache Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","18.50",25,"Fruit-forward rosé with hints of strawberry and melon.","2026-09-10","2025-05-03 00:00:00"
24,"Syrah Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","19.50",27,"Vibrant and zesty with a touch of spicy character.","2026-08-15","2025-05-04 00:00:00"
25,"Sangiovese Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","20.25",29,"Elegant rosé with refreshing red fruit and floral notes.","2026-07-05","2025-05-05 00:00:00"
26,"Tempranillo Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","19.75",30,"Smooth and aromatic with subtle spice undertones.","2026-06-25","2025-05-06 00:00:00"
27,"Zinfandel Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","18.25",26,"Lively with bright red berry flavors and a crisp finish.","2026-05-15","2025-05-07 00:00:00"
28,"Cabernet Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","20.50",24,"Rich and crisp with a pleasantly lingering finish.","2026-04-10","2025-05-08 00:00:00"
29,"Merlot Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","19.00",28,"Soft and fruity with a refreshing character.","2026-03-20","2025-05-09 00:00:00"
30,"Malbec Rosé","Rosé","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","20.00",27,"A vibrant blend with distinctive fruit and floral notes.","2026-02-15","2025-05-10 00:00:00"
31,"Prosecco","Sparkling","https://bravofarms.com/cdn/shop/products/red-wine.jpg?v=1646253890","22.00",20,"Light and bubbly with delicate floral hints.","2026-12-05","2025-06-01 00:00:00"
