Wine Type,Price Category,Price,Season,Purchase Date
Sparkling,Expensive,201.95,Spring,2023-12-27
Rosé,Expensive,293.11,Winter,2023-01-27
Sparkling,Cheap,39.56,Summer,2023-04-08
Sparkling,Cheap,40.12,Summer,2023-11-19
White,Expensive,148.81,Summer,2023-08-04
Red,Medium,80.28,Spring,2023-02-19
White,Expensive,188.92,Summer,2023-07-05
Sparkling,Medium,100.89,Winter,2023-08-05
Sparkling,Medium,105.6,Spring,2023-02-25
Sparkling,Expensive,237.16,Winter,2023-04-06
Rosé,Expensive,263.92,Autumn,2023-03-18
Sparkling,Expensive,193.39,Summer,2023-05-19
White,Expensive,286.27,Winter,2023-04-07
Rosé,Medium,102.73,Summer,2023-03-25
Red,Medium,61.11,Autumn,2023-07-09
Rosé,Cheap,34.11,Winter,2023-05-05
White,Cheap,53.3,Autumn,2023-10-13
White,Expensive,218.87,Spring,2023-06-14
Sparkling,Expensive,157.39,Spring,2023-10-06
Sparkling,Medium,77.56,Winter,2023-08-23
Red,Cheap,50.76,Winter,2023-06-08
Red,Medium,81.71,Summer,2023-04-05
Red,Cheap,50.8,Winter,2023-09-10
Sparkling,Medium,93.21,Spring,2023-10-15
Rosé,Medium,104.21,Summer,2023-07-27
Red,Medium,81.55,Winter,2023-08-16
Red,Expensive,185.75,Summer,2023-06-06
White,Medium,68.24,Autumn,2023-03-10
Red,Expensive,281.77,Winter,2023-12-28
Sparkling,Cheap,32.67,Spring,2023-07-25
Rosé,Medium,86.83,Summer,2023-09-20
Red,Expensive,268.48,Spring,2023-08-06
Red,Expensive,230.01,Autumn,2023-01-05
Sparkling,Cheap,43.03,Summer,2023-12-14
Rosé,Medium,100.29,Autumn,2023-05-04
Sparkling,Cheap,39.61,Summer,2023-05-25
Red,Cheap,54.43,Winter,2023-05-10
Sparkling,Medium,92.97,Summer,2023-10-11
Red,Expensive,190.52,Summer,2023-04-18
White,Expensive,260.44,Summer,2023-02-23
Red,Medium,89.2,Autumn,2023-11-02
Sparkling,Expensive,243.67,Winter,2023-05-05
Red,Cheap,53.99,Autumn,2023-10-10
Sparkling,Medium,66.68,Winter,2023-01-13
Rosé,Medium,108.58,Autumn,2023-02-18
White,Cheap,51.16,Autumn,2023-01-13
White,Expensive,262.95,Summer,2023-09-13
Sparkling,Cheap,38.39,Summer,2023-10-17
Red,Medium,112.18,Winter,2023-09-22
Rosé,Cheap,58.26,Spring,2023-12-18
Rosé,Medium,106.59,Summer,2023-05-12
Rosé,Expensive,184.79,Autumn,2023-01-28
White,Expensive,136.49,Autumn,2023-08-10
Sparkling,Medium,75.37,Summer,2023-07-15
Sparkling,Medium,66.6,Autumn,2023-06-22
Red,Cheap,46.45,Spring,2023-09-14
Red,Medium,74.0,Summer,2023-03-14
White,Cheap,30.65,Winter,2023-04-21
White,Expensive,262.65,Winter,2023-08-06
Rosé,Medium,94.82,Summer,2023-04-01
White,Medium,62.66,Winter,2023-12-01
Rosé,Expensive,138.53,Autumn,2023-02-09
White,Medium,97.45,Autumn,2023-08-06
Rosé,Expensive,224.84,Winter,2023-12-25
White,Cheap,41.94,Autumn,2023-12-25
